Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
7183-XY-1_S1_L005_R1_001	3.5	83078736	40350946	83078736	12544889136	9910460	12018008220	4.199964705052775
7183-XY-1_S1_L005_R2_001	3.5	83078736	41687166	83078736	12544889136	19768848	12015854519	4.217132660677185
7183-XY-2_S1_L005_R1_001	3.5	72411805	35545572	72411805	10934182555	14437819	10451656125	4.413008723540559
7183-XY-2_S1_L005_R2_001	3.5	72411805	36667426	72411805	10934182555	19014739	10454463674	4.387331916098597
7183-XY-3_S1_L005_R1_001	3.5	79525334	39722109	79525334	12008325434	11090762	11473392639	4.454682694436377
7183-XY-3_S1_L005_R2_001	3.5	79525334	40420488	79525334	12008325434	23102200	11474736647	4.443490392833736
7183-XY-4_S1_L005_R1_001	3.5	83354708	43248309	83354708	12586560908	12594970	11939943091	5.1373669243439695
7183-XY-4_S1_L005_R2_001	3.5	83354708	43844353	83354708	12586560908	22694553	11938669700	5.147483992932504
